Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Tamias panamintinus,Rodentia,1.83,1.77,51.20,1.73,0.153028106,1.347966638,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Callosciurus prevostii,Rodentia,6.52,6.29,439.00,1.24,0.140514759,1.322997166,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamias palmeri,Rodentia,1.99,1.92,60.80,1.66,0.149306727,1.322211588,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus aureogaster,Rodentia,7.81,7.54,595.00,1.19,0.13893136,1.320477133,Mace 1981; Silva & Downing 1995,
Tamias dorsalis,Rodentia,1.98,1.91,62.20,1.62,0.146437706,1.297719976,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamiasciurus hudsonicus,Rodentia,3.83,3.70,188.90,1.37,0.140528971,1.288990242,Mace 1981,
Tamias townsendii,Rodentia,2.44,2.36,89.40,1.53,0.143537478,1.286403892,Mace 1981,
Funisciurus anerythrus,Rodentia,4.14,4.00,218.00,1.33,0.138772609,1.278546346,Mace 1981; Silva & Downing 1995,
Iomys horsfieldii,Rodentia,3.38,3.26,155.50,1.40,0.140218165,1.2784051,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamias minimus,Rodentia,1.60,1.54,45.30,1.66,0.14454114,1.268384984,Mace 1981,
Sciurus granatensis,Rodentia,5.91,5.70,400.00,1.21,0.135069436,1.268065002,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Xerus rutilus,Rodentia,5.09,4.91,317.50,1.24,0.134581991,1.254473741,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rhinosciurus laticaudatus,Rodentia,4.28,4.13,240.00,1.28,0.135020569,1.247691034,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Jaculus orientalis,Rodentia,2.50,2.41,98.00,1.46,0.138786049,1.247367412,Warncke 1908,
Tamias speciosus,Rodentia,1.86,1.80,59.90,1.57,0.140872453,1.246943803,Mace 1981,
Hydrochaeris hydrochaeris,Rodentia,75.00,72.39,28500.00,0.64,0.116124435,1.244355231,Count 1947; Silva & Downing 1995,
Ratufa affinis,Rodentia,9.85,9.51,982.50,1.03,0.127686165,1.232612948,Mace 1981,
Thryonomys swinderianus,Rodentia,13.28,12.82,1625.00,0.95,0.125319617,1.228785523,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Proechimys semispinosus,Rodentia,6.87,6.63,544.75,1.12,0.129206909,1.224696352,Mace 1981,
Funisciurus carruthersi,Rodentia,4.48,4.32,268.00,1.24,0.131823979,1.222326333,Mace 1981,
Tamias quadrimaculatus,Rodentia,2.16,2.08,82.30,1.44,0.133876982,1.196751224,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilopsis leptodactylus,Rodentia,6.18,5.97,495.00,1.08,0.123470172,1.166850955,Mace 1981; Silva & Downing 1995,
Allactaga sibirica,Rodentia,3.50,3.38,193.00,1.23,0.126692481,1.162849979,Warncke 1908,
Ratufa bicolor,Rodentia,11.01,10.63,1320.00,0.92,0.118460791,1.154072229,Mace 1981,
Aeromys tephromelas,Rodentia,10.34,9.98,1189.00,0.94,0.118836608,1.153988435,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dasyprocta punctata,Rodentia,18.34,17.70,3172.00,0.80,0.11348215,1.136029096,Crile & Quiring 1940,
Funambulus pennantii,Rodentia,2.10,2.03,85.90,1.35,0.126689046,1.134000972,Mace 1981,
Tamias quadrivittatus,Rodentia,1.70,1.64,62.30,1.39,0.125601962,1.113130605,Mace 1981,
Ammospermophilus leucurus,Rodentia,2.33,2.25,105.90,1.28,0.123173145,1.109707127,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamias striatus,Rodentia,2.17,2.09,94.30,1.30,0.123427609,1.108007624,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Erethizon dorsatum,Rodentia,24.60,23.75,5397.00,0.72,0.108846982,1.107729411,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lagidium viscacia,Rodentia,15.08,14.55,2460.50,0.79,0.109494179,1.087510176,Warncke 1908,
Dolichotis patagonum,Rodentia,30.50,29.44,8000.00,0.67,0.10527361,1.084515785,Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Glaucomys sabrinus,Rodentia,3.01,2.91,174.00,1.15,0.116318657,1.064209121,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamias amoenus,Rodentia,1.39,1.34,50.80,1.33,0.116811138,1.028694939,Mace 1981,
Heliosciurus gambianus,Rodentia,3.99,3.85,295.00,1.02,0.110505696,1.027707951,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Melomys levipes,Rodentia,1.86,1.80,83.40,1.22,0.114321161,1.022358811,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Petaurista petaurista,Rodentia,11.77,11.36,1811.50,0.78,0.103666682,1.01990321,Count 1947; Mace 1981; Silva & Downing 1995,
Glaucomys volans,Rodentia,1.71,1.65,73.10,1.24,0.114217777,1.017268776,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cavia aperea,Rodentia,4.04,3.89,306.45,1.01,0.109098825,1.01582242,Mace 1981; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus lateralis,Rodentia,3.21,3.10,209.70,1.06,0.110148914,1.013608731,Iwaniuk 2001; Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Petaurista elegans,Rodentia,7.76,7.49,924.00,0.85,0.104566402,1.007508152,Mace 1981,
Xerus erythropus,Rodentia,6.68,6.45,722.50,0.88,0.105128202,1.00522616,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Hylopetes spadiceus,Rodentia,1.87,1.81,87.50,1.19,0.111507476,0.998681041,Mace 1981; Silva & Downing 1995,
Dipodomys ordii,Rodentia,1.45,1.40,57.10,1.26,0.112897534,0.997839625,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Stenomys verecundus,Rodentia,1.48,1.43,59.40,1.26,0.11268651,0.99719451,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tatera afra,Rodentia,1.56,1.51,65.00,1.24,0.11221366,0.995787373,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Hoplomys gymnurus,Rodentia,4.13,3.99,330.00,0.97,0.106570552,0.994561671,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Aplodontia rufa,Rodentia,7.04,6.80,806.00,0.85,0.103405754,0.992114197,Mace 1981,
Pogonomelomys sevia,Rodentia,1.49,1.44,61.40,1.23,0.1111019,0.984181679,Mace 1981,
Jaculus jaculus,Rodentia,1.53,1.48,64.20,1.22,0.110919087,0.983921486,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Gerbillurus paeba,Rodentia,0.84,0.81,24.00,1.40,0.113301446,0.974860719,Mace 1981,
Gerbillus campestris,Rodentia,0.90,0.87,27.50,1.36,0.111402013,0.962571333,Mace 1981,
Gerbillus nanus,Rodentia,0.60,0.58,14.00,1.50,0.113713995,0.962198021,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Melomys rubex,Rodentia,1.27,1.23,49.70,1.23,0.108211221,0.95231345,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ratufa indica,Rodentia,11.40,11.00,1935.00,0.72,0.096355968,0.9499184,Warncke 1908,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pogonomys sylvestris,Rodentia,1.13,1.09,41.20,1.26,0.108379654,0.948265924,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys merriami,Rodentia,1.10,1.06,39.40,1.27,0.108516588,0.94815008,"Hafner 1984, Mace 1981",
Dipodomys panamintinus,Rodentia,1.60,1.54,74.00,1.15,0.105746188,0.94217478,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cavia porcellus,Rodentia,4.83,4.67,476.00,0.87,0.09897972,0.934270436,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microdipodops pallidus,Rodentia,0.55,0.53,12.90,1.46,0.109577901,0.924851125,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Melomys rufescens,Rodentia,1.29,1.25,54.70,1.16,0.103463977,0.913245088,Mace 1981,
Dipodomys heermanni,Rodentia,1.44,1.39,65.65,1.13,0.102654744,0.911242306,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Stenomys niobe,Rodentia,1.10,1.06,42.10,1.21,0.104073496,0.911199469,Mace 1981,
Ammospermophilus harrisii,Rodentia,2.24,2.16,138.80,1.01,0.099831989,0.906993906,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus beldingi,Rodentia,3.28,3.17,262.90,0.92,0.0976912,0.905293751,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microdipodops megacephalus,Rodentia,0.56,0.54,13.85,1.41,0.106666111,0.902260561,"Hafner 1984, Mace 1981",
Spermophilus tridecemlineatus,Rodentia,2.38,2.29,156.40,0.98,0.09819671,0.895444859,Iwaniuk 2001; Mace 1981; Warncke 1908,
Podomys floridanus,Rodentia,0.94,0.91,33.47,1.22,0.102793783,0.893614916,Mace & Eisenberg 1982; Silva & Downing 1995,
Dipodomys agilis,Rodentia,1.34,1.29,61.40,1.11,0.099917145,0.885102986,Mace 1981,
Paraxerus cepapi,Rodentia,2.85,2.75,216.00,0.92,0.096089073,0.885039471,Mace 1981,
Neotoma fuscipes,Rodentia,2.66,2.57,193.30,0.94,0.096191965,0.88294277,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Castor canadensis,Rodentia,52.21,50.40,27670.00,0.45,0.082359817,0.8817353,Crile & Quiring 1940,
Peromyscus grandis,Rodentia,1.53,1.48,77.32,1.07,0.098639017,0.880047987,Mace & Eisenberg 1982,
Spermophilus beecheyi,Rodentia,5.12,4.94,587.50,0.79,0.091811155,0.872278702,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pseudomys australis,Rodentia,1.16,1.12,50.00,1.12,0.098463977,0.866694453,Mace 1981,
Peromyscus crinitus,Rodentia,0.53,0.51,13.56,1.35,0.102491881,0.866383328,Mace & Eisenberg 1982,
Ototylomys phyllotis,Rodentia,1.33,1.28,63.00,1.08,0.097574697,0.865042294,Mace 1981,
Notomys alexis,Rodentia,0.96,0.93,37.00,1.16,0.098538377,0.859290932,Mace 1981,
Onychomys leucogaster,Rodentia,0.80,0.77,27.39,1.21,0.099388964,0.858660792,Mann & Towe 2002,
Cynomys ludovicianus,Rodentia,6.01,5.80,793.50,0.74,0.089151739,0.854941391,Mace 1981,
Neotoma floridana,Rodentia,3.04,2.93,257.70,0.86,0.091691662,0.849170626,Mace 1981,
Rattus lutreolus,Rodentia,1.64,1.58,92.70,1.00,0.09429442,0.846030535,Mace 1981,
Pogonomys macrourus,Rodentia,1.43,1.38,73.90,1.03,0.09486169,0.845160915,Mace 1981,
Peromyscus guatemalensis,Rodentia,1.16,1.12,52.83,1.07,0.095102029,0.838532024,Mace & Eisenberg 1982,
Rattus nitidus,Rodentia,1.70,1.64,101.00,0.97,0.092595865,0.83300216,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rattus tunneyi,Rodentia,1.41,1.36,76.20,0.99,0.091743432,0.818156076,Mace 1981; Silva & Downing 1995,
Spalacopus cyanus,Rodentia,1.58,1.53,93.00,0.96,0.090659601,0.813499608,Mace 1981,
Leopoldamys siporanus,Rodentia,3.39,3.27,332.70,0.80,0.087026965,0.812377802,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Grammomys cometes,Rodentia,0.96,0.93,40.70,1.08,0.09278689,0.811530072,Mace 1981,
Tatera brantsii,Rodentia,1.56,1.51,91.70,0.96,0.090310658,0.810014937,Mace 1981,
Peromyscus truei,Rodentia,0.75,0.72,27.35,1.13,0.09315596,0.804779482,Mace & Eisenberg 1982; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Clethrionomys gapperi,Rodentia,0.56,0.54,16.90,1.21,0.094245576,0.802132355,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Melomys cervinipes,Rodentia,1.31,1.26,70.00,0.98,0.089925713,0.799838863,Mace 1981,
Massoutiera mzabi,Rodentia,2.32,2.24,182.60,0.85,0.086966192,0.796851788,Mace 1981,
Rattus morotaiensis,Rodentia,1.92,1.85,134.10,0.89,0.087450667,0.793659086,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus richardsonii,Rodentia,3.37,3.26,343.67,0.77,0.084858031,0.792928053,Iwaniuk 2001; Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys microps,Rodentia,1.22,1.17,62.80,0.99,0.089407964,0.792562512,"Hafner 1984, Mace 1981",
Peromyscus mexicanus,Rodentia,1.02,0.98,46.55,1.03,0.090131828,0.791597222,Mace & Eisenberg 1982; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Malacomys edwardsi,Rodentia,1.18,1.14,60.00,0.99,0.089276679,0.790280539,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus aztecus,Rodentia,0.92,0.89,39.73,1.05,0.090284557,0.789053987,Mace & Eisenberg 1982,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chiropodomys gliroides,Rodentia,0.70,0.68,25.30,1.12,0.091326844,0.787074347,Mace 1981,
Acomys wilsoni,Rodentia,0.58,0.56,18.50,1.17,0.092196003,0.786891741,"Mace 1981, Silva & Downing 1995","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Mystromys albicaudatus,Rodentia,1.39,1.34,80.00,0.94,0.087707045,0.783340965,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Clethrionomys rutilus,Rodentia,0.56,0.54,17.60,1.18,0.091862655,0.782835401,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Meriones unguiculatus,Rodentia,1.13,1.09,57.40,0.98,0.087917332,0.777179503,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Zapus hudsonius,Rodentia,0.55,0.53,17.47,1.16,0.09055183,0.77148292,Mace 1981; Crile & Quiring 1940; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Onychomys torridus,Rodentia,0.59,0.57,20.02,1.14,0.089932626,0.769455015,Mann & Towe 2002,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus yucatanicus,Rodentia,0.70,0.68,26.30,1.09,0.08912005,0.76897925,Mace & Eisenberg 1982; Silva & Downing 1995,
Praomys tullbergi,Rodentia,0.86,0.83,37.20,1.03,0.087974198,0.767295617,Mace 1981,
Spermophilus parryii,Rodentia,5.25,5.06,763.72,0.66,0.079712765,0.763518218,Crile & Quiring 1940; Iwaniuk 2001; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pteromyscus pulverulentus,Rodentia,3.55,3.43,400.00,0.73,0.081133079,0.761697252,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys spectabilis,Rodentia,1.93,1.86,144.55,0.84,0.083729579,0.761658057,"Hafner 1984, Mace 1981",
Gerbillus gleadowi,Rodentia,0.69,0.67,26.10,1.08,0.08827107,0.76147354,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus boylii,Rodentia,0.71,0.69,27.47,1.07,0.08794436,0.7598593,Mace & Eisenberg 1982,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys deserti,Rodentia,1.74,1.68,122.45,0.86,0.083941478,0.759668124,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus franklinii,Rodentia,3.82,3.69,455.50,0.71,0.08043159,0.758159122,Mace 1981,
Hybomys trivirgatus,Rodentia,1.10,1.06,57.50,0.96,0.085489295,0.755756705,Mace 1981,
Apodemus sylvaticus,Rodentia,0.59,0.56,20.10,1.11,0.08824876,0.755141367,Mace 1981; Count 1947; Silva & Downing 1995,
Reithrodontomys megalotis,Rodentia,0.40,0.39,10.70,1.22,0.089823151,0.753736862,Mace 1981,
Lophuromys sikapusi,Rodentia,1.13,1.09,60.70,0.94,0.08487032,0.751545466,Mace 1981,
Microtus pennsylvanicus ,Rodentia,0.74,0.72,30.13,1.04,0.086695109,0.751217385,Crile & Quiring 1940; Mace 1981; Silva & Downing 1995,
Peromyscus leucopus,Rodentia,0.60,0.58,21.21,1.10,0.087493048,0.749923356,Mace & Eisenberg 1982,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rattus sordidus,Rodentia,1.70,1.64,120.67,0.85,0.082763107,0.748663331,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus melanophrys,Rodentia,0.94,0.91,45.00,0.98,0.085274703,0.748152921,Mace & Eisenberg 1982; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cricetomys gambianus,Rodentia,6.57,6.34,1150.00,0.61,0.077114224,0.748060453,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Micromys minutus,Rodentia,0.29,0.28,6.40,1.30,0.090067455,0.743840882,Mace 1981,
Tatera indica,Rodentia,1.84,1.78,139.70,0.82,0.08167109,0.742147126,Mace 1981,
Gerbillus pyramidum,Rodentia,0.88,0.85,40.90,0.99,0.08479197,0.741717828,Mace 1981,
Myoxus glis,Rodentia,1.90,1.83,148.00,0.82,0.08131823,0.740263953,Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rattus fuscipes,Rodentia,1.69,1.63,122.00,0.84,0.081707723,0.739368317,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Orthogeomys cherriei,Rodentia,3.47,3.35,405.00,0.70,0.078699125,0.739131275,Hafner 1984,
Peromyscus californicus,Rodentia,0.91,0.88,43.53,0.97,0.084297407,0.738819364,Mace & Eisenberg 1982; Silva & Downing 1995,
Neofiber alleni,Rodentia,2.72,2.63,270.50,0.74,0.079568435,0.738003757,Mace 1981,
Perognathus longimembris,Rodentia,0.33,0.32,8.15,1.23,0.088146604,0.73345258,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cynomys gunnisoni,Rodentia,5.16,4.98,796.30,0.63,0.076372983,0.732476511,Mace 1981,
Oligoryzomys longicaudatus,Rodentia,0.67,0.65,26.60,1.03,0.084692304,0.731031096,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Uranomys ruddi,Rodentia,0.77,0.74,33.60,1.00,0.083992421,0.730259456,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus undulatus,Rodentia,4.84,4.67,725.30,0.63,0.075985052,0.726649176,Mace 1981,
Arvicanthis niloticus,Rodentia,1.33,1.28,84.50,0.87,0.081072678,0.725316648,Mace 1981,
Liomys irroratus,Rodentia,1.06,1.02,57.70,0.92,0.081945941,0.724510143,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Nyctomys sumichrasti,Rodentia,1.08,1.04,60.00,0.91,0.081710859,0.723307612,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Clethrionomys glareolus,Rodentia,0.52,0.50,17.90,1.08,0.084396131,0.719584095,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus baileyi,Rodentia,0.70,0.68,29.75,1.00,0.082651484,0.715894993,"Hafner 1984, Mace 1981",
Peromyscus gossypinus,Rodentia,0.68,0.66,28.25,1.00,0.082753377,0.715628902,Mace & Eisenberg 1982,
Microtus agrestis,Rodentia,0.74,0.71,32.40,0.98,0.082035702,0.712443393,Count 1947; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus columbianus,Rodentia,3.74,3.61,488.20,0.66,0.07536439,0.711923435,Iwaniuk 2001; Mace 1981,
Orthogeomys hispidus,Rodentia,3.98,3.84,542.10,0.65,0.075050974,0.711268157,Hafner 1984,
Peromyscus merriami,Rodentia,0.56,0.54,20.72,1.04,0.082873476,0.709813421,Mace & Eisenberg 1982,
Cynomys leucurus,Rodentia,5.69,5.49,992.10,0.59,0.073308652,0.707895297,Mace 1981,
Peromyscus megalops,Rodentia,1.12,1.08,66.20,0.88,0.079639054,0.707120225,Mace & Eisenberg 1982; Silva & Downing 1995,
Orthogeomys heterodus,Rodentia,4.31,4.16,630.00,0.63,0.073950082,0.704107202,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus maniculatus,Rodentia,0.57,0.55,21.65,1.03,0.08204845,0.703704204,Mace & Eisenberg 1982,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Zygogeomys trichopus,Rodentia,3.95,3.81,545.00,0.64,0.074214369,0.703455873,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus eremicus,Rodentia,0.54,0.52,19.93,1.03,0.081898154,0.700614967,Mace & Eisenberg 1982,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus melanocarpus,Rodentia,1.03,0.99,58.80,0.88,0.078927726,0.698233786,Mace & Eisenberg 1982; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Isthmomys pirrensis,Rodentia,1.71,1.65,138.00,0.77,0.076489508,0.694798207,Mace & Eisenberg 1982; Silva & Downing 1995,
Peromyscus polionotus,Rodentia,0.42,0.41,13.32,1.09,0.08215333,0.694067971,Mace & Eisenberg 1982; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus townsendii,Rodentia,0.88,0.85,45.80,0.91,0.078948887,0.693032204,Mace 1981,
Chaetodipus fallax,Rodentia,0.54,0.52,20.30,1.02,0.080761162,0.691282411,Hafner 1984,
Synaptomys cooperi,Rodentia,0.59,0.57,23.80,0.99,0.080002104,0.688170209,Mace 1981,
Perognathus parvus,Rodentia,0.49,0.47,17.30,1.04,0.080745807,0.687733187,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Chaetodipus californicus,Rodentia,0.62,0.60,26.00,0.98,0.079713574,0.687570171,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus tereticaudus,Rodentia,1.82,1.76,156.60,0.75,0.075167005,0.685466703,Mace 1981,
Dinomys branickii,Rodentia,26.95,26.01,14000.00,0.39,0.065346366,0.684970674,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Oryzomys palustris,Rodentia,0.88,0.85,47.10,0.89,0.077566811,0.681491052,Mace 1981,
Apodemus flavicollis,Rodentia,0.70,0.68,32.30,0.94,0.078281783,0.679777142,Mace 1981,
Pappogeomys gymnurus,Rodentia,4.19,4.04,637.00,0.60,0.071317908,0.67927791,Hafner 1984,
Chaetodipus penicillatus,Rodentia,0.46,0.45,16.25,1.03,0.079859563,0.67886584,"Hafner 1984, Mace 1981",
Chaetodipus formosus,Rodentia,0.49,0.48,18.10,1.01,0.07941309,0.677330613,"Hafner 1984, Mace 1981",
Lophuromys flavopunctatus,Rodentia,1.01,0.97,60.00,0.85,0.076414785,0.676426563,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Geocapromys ingrahami,Rodentia,4.46,4.31,717.30,0.59,0.070511036,0.674069056,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus townsendii,Rodentia,2.06,1.99,199.00,0.71,0.073140915,0.671963069,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pectinator spekei,Rodentia,1.93,1.86,180.00,0.72,0.073004531,0.668626887,Mace 1981,
Lemniscomys striatus,Rodentia,0.85,0.82,46.20,0.87,0.07584017,0.665922625,Mace 1981,
Perognathus flavus,Rodentia,0.31,0.29,8.40,1.11,0.079894754,0.665413322,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Hydromys chrysogaster,Rodentia,4.33,4.18,698.00,0.58,0.069644141,0.665219043,Mace 1981,
Heteromys desmarestianus,Rodentia,1.13,1.09,74.65,0.81,0.074177365,0.661082863,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Neotoma albigula,Rodentia,2.17,2.09,223.10,0.69,0.071684616,0.660921716,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lagostomus maximus,Rodentia,12.66,12.22,4270.75,0.44,0.064931442,0.656026294,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Praomys morio,Rodentia,0.84,0.81,46.50,0.86,0.074642458,0.655537506,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Myocastor coypus,Rodentia,17.09,16.50,7052.00,0.41,0.063874345,0.655457762,Mace 1981; Silva & Downing 1995,
Holochilus sciureus,Rodentia,1.41,1.36,112.30,0.74,0.071828855,0.648307863,Bininda-Emonds 2000,
Neotoma cinerea,Rodentia,2.65,2.56,331.30,0.62,0.068211187,0.636653371,Mace 1981,
Microtus oregoni,Rodentia,0.52,0.50,22.00,0.93,0.074097591,0.63582817,Mace 1981,
Microtus pinetorum,Rodentia,0.56,0.54,24.90,0.91,0.073799887,0.63570913,Mace 1981,
Microtus californicus,Rodentia,0.78,0.75,43.30,0.84,0.072500366,0.635319075,Mace 1981,
Chaetodipus spinatus,Rodentia,0.48,0.46,19.10,0.94,0.074242911,0.634289609,Hafner 1984,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Liomys pictus,Rodentia,0.77,0.75,43.35,0.83,0.071843859,0.629588646,"Hafner 1984, Mace 1981",
Myomys daltoni,Rodentia,0.68,0.66,35.00,0.86,0.07228887,0.629300557,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
